config,layer_type,activation,pooling,num_layers,hidden_dim,dropout,val_acc_mean,val_acc_std,test_acc_mean,test_acc_std,test_f1_mean,test_f1_std
f_tanh_mean_L2_H64_D0.5_lr0.01,f,tanh,mean,2,64,0.5,0.47333333333333333,0.009428090415820616,0.47555555555555556,0.02739739556875102,0.42803066421558067,0.02765894456387829
f_tanh_sum_L2_H64_D0.5_lr0.01,f,tanh,sum,2,64,0.5,0.45999999999999996,0.009428090415820642,0.4533333333333333,0.019626135258506316,0.38428388821653464,0.028714813138311198
f_tanh_sum_L3_H64_D0.5_lr0.01,f,tanh,sum,3,64,0.5,0.45555555555555555,0.012570787221094181,0.4488888888888889,0.0062853936105470775,0.4105885442269442,0.01660018745267151
f_tanh_sum_L3_H128_D0.5_lr0.01,f,tanh,sum,3,128,0.5,0.40444444444444444,0.03861810488218392,0.3822222222222222,0.0689247218634259,0.2916741515029551,0.06149213900258716
f_tanh_mean_L3_H64_D0.5_lr0.01,f,tanh,mean,3,64,0.5,0.40444444444444444,0.0362433476228891,0.41333333333333333,0.03810317377662723,0.3126189871276232,0.05482909013684172
f_tanh_sum_L2_H128_D0.5_lr0.01,f,tanh,sum,2,128,0.5,0.3955555555555555,0.03705184889007348,0.36000000000000004,0.047453681120139174,0.2660949098806881,0.060405665601418176
f_relu_mean_L2_H64_D0.5_lr0.01,f,relu,mean,2,64,0.5,0.39111111111111113,0.04878777422244479,0.41111111111111115,0.03937787810370967,0.3095491684159906,0.06232870415559006
f_tanh_mean_L2_H128_D0.5_lr0.01,f,tanh,mean,2,128,0.5,0.3688888888888889,0.0257240820062005,0.3622222222222222,0.031894889098682946,0.23591896660977293,0.06021098076661078
g_tanh_sum_L2_H128_D0.5_lr0.01,g,tanh,sum,2,128,0.5,0.36000000000000004,5.551115123125783e-17,0.34,0.009428090415820642,0.2165689029466119,0.015437598268194973
g_tanh_sum_L2_H64_D0.5_lr0.01,g,tanh,sum,2,64,0.5,0.36000000000000004,5.551115123125783e-17,0.34,0.009428090415820642,0.2165689029466119,0.015437598268194973
f_relu_mean_L2_H128_D0.5_lr0.01,f,relu,mean,2,128,0.5,0.35777777777777775,0.034569664858009004,0.36000000000000004,0.03771236166328255,0.22192999337139438,0.07815414612768118
g_tanh_sum_L3_H64_D0.5_lr0.01,g,tanh,sum,3,64,0.5,0.35777777777777775,0.0031426968052735383,0.3466666666666667,0.018856180831641284,0.2269704169121384,0.041170670141990454
g_tanh_sum_L3_H128_D0.5_lr0.01,g,tanh,sum,3,128,0.5,0.35555555555555557,0.0031426968052735383,0.3377777777777778,0.00831479419283099,0.21738831858201513,0.016048422235962582
g_relu_sum_L3_H64_D0.5_lr0.01,g,relu,sum,3,64,0.5,0.3422222222222222,0.012570787221094181,0.3333333333333333,0.0,0.17700351213282248,0.014618507050392398
f_relu_mean_L3_H128_D0.5_lr0.01,f,relu,mean,3,128,0.5,0.34,0.009428090415820642,0.3333333333333333,0.01088662107903635,0.1748971193415638,0.014113221182547526
f_relu_mean_L3_H64_D0.5_lr0.01,f,relu,mean,3,64,0.5,0.3377777777777778,0.003142696805273565,0.3333333333333333,0.0,0.1672250139586823,0.0003948111564414105
f_relu_sum_L2_H64_D0.5_lr0.01,f,relu,sum,2,64,0.5,0.33555555555555555,0.003142696805273565,0.32444444444444437,0.012570787221094181,0.16435185185185186,0.0032736425054932642
g_relu_sum_L2_H64_D0.5_lr0.01,g,relu,sum,2,64,0.5,0.33555555555555555,0.003142696805273565,0.31777777777777777,0.021998877636914795,0.1959304086024286,0.041385180731340836
g_relu_sum_L2_H128_D0.5_lr0.01,g,relu,sum,2,128,0.5,0.33555555555555555,0.003142696805273565,0.3333333333333333,0.0,0.17719298245614035,0.014886458551295731
f_tanh_mean_L3_H128_D0.5_lr0.01,f,tanh,mean,3,128,0.5,0.33555555555555555,0.003142696805273565,0.34,0.009428090415820642,0.18576998050682259,0.02701616551901818
