config,layer_type,activation,pooling,num_layers,hidden_dim,dropout,val_acc_mean,val_acc_std,test_acc_mean,test_acc_std,test_f1_mean,test_f1_std
f_relu_mean_L3_H64_D0.5_lr0.01,f,relu,mean,3,64,0.5,0.9473684210526315,0.0,0.8245614035087719,0.024810764252159532,0.7963688163688163,0.029050105458968807
f_relu_mean_L3_H128_D0.5_lr0.01,f,relu,mean,3,128,0.5,0.9298245614035087,0.06564311204866566,0.8245614035087719,0.024810764252159532,0.7963688163688163,0.029050105458968807
f_tanh_mean_L3_H128_D0.5_lr0.01,f,tanh,mean,3,128,0.5,0.9298245614035087,0.024810764252159532,0.8070175438596491,0.024810764252159535,0.7492747992747993,0.051177268230904495
f_relu_mean_L2_H64_D0.5_lr0.01,f,relu,mean,2,64,0.5,0.912280701754386,0.024810764252159535,0.8070175438596491,0.024810764252159535,0.7791452991452991,0.032152205777029305
f_tanh_sum_L2_H128_D0.5_lr0.01,f,tanh,sum,2,128,0.5,0.912280701754386,0.024810764252159535,0.8421052631578947,0.07443229275647871,0.817736369910283,0.06583071413531076
f_tanh_mean_L2_H128_D0.5_lr0.01,f,tanh,mean,2,128,0.5,0.8947368421052632,0.0,0.8421052631578947,0.0,0.8135923335923335,0.007794474127764654
f_tanh_mean_L3_H64_D0.5_lr0.01,f,tanh,mean,3,64,0.5,0.8947368421052632,0.0,0.7719298245614036,0.024810764252159587,0.7517704517704518,0.031167954579773335
f_relu_mean_L2_H128_D0.5_lr0.01,f,relu,mean,2,128,0.5,0.8947368421052632,0.0,0.7894736842105262,1.1102230246251565e-16,0.7622100122100122,0.008202093310466639
f_relu_sum_L2_H64_D0.5_lr0.01,f,relu,sum,2,64,0.5,0.8947368421052632,0.07443229275647865,0.8947368421052632,0.042973504259354,0.8694644861311528,0.052361994311854745
f_tanh_sum_L3_H64_D0.5_lr0.01,f,tanh,sum,3,64,0.5,0.8596491228070176,0.024810764252159587,0.8070175438596491,0.06564311204866566,0.7865689865689864,0.070193819325455
g_tanh_sum_L3_H128_D0.5_lr0.01,g,tanh,sum,3,128,0.5,0.8596491228070176,0.024810764252159587,0.7543859649122807,0.06564311204866562,0.6987864200507877,0.06144217147767689
g_tanh_mean_L3_H128_D0.5_lr0.01,g,tanh,mean,3,128,0.5,0.8421052631578947,0.0,0.7543859649122808,0.04962152850431912,0.6833333333333332,0.06397632782164005
